canonical_accounting_office_name,accounting_office_cvr,alias_name,source,confidence
Audit Advisor ApS,46127307,Audit Advisor ApS,declaration_legal_name,HIGH
Audit Advisor ApS,46127307,Audit,inferred_brand_name,MEDIUM
Augusta,36445386,Augusta,declaration_legal_name,HIGH
B.C. Revision,45556158,B.C. Revision,declaration_legal_name,HIGH
B.F. Rådgivning Herning,29509026,B.F. Rådgivning Herning,declaration_legal_name,HIGH
Baagøe Schou,21148148,BAAGØE SCHOU STATSAUTORISERET REVISIONSAKTIESELSKAB,activity_signal_dominant_cvr,HIGH
Baagøe Schou,21148148,Baagøe Schou,declaration_legal_name,HIGH
Baagøe Schou,21148148,Baagøe,inferred_brand_name,MEDIUM
Badsted Revision,10838576,Badsted Revision,declaration_legal_name,HIGH
Badsted Revision,10838576,Badsted,inferred_brand_name,MEDIUM
Baker Tilly Denmark,35257691,Baker Tilly Denmark,declaration_legal_name,HIGH
Baker Tilly Denmark,35257691,Baker Tilly,inferred_brand_name,MEDIUM
Barrett revisionsanpartsselskab,28842562,Barrett revisionsanpartsselskab,declaration_legal_name,HIGH
Barrett revisionsanpartsselskab,28842562,Barrett,inferred_brand_name,MEDIUM
BAYER HOLDING ApS,15202548,BAYER HOLDING ApS,declaration_legal_name,HIGH
BAYER HOLDING ApS,15202548,Bayer,inferred_brand_name,MEDIUM
Bays Revisionskontor,20183497,Bays Revisionskontor,declaration_legal_name,HIGH
Bays Revisionskontor,20183497,Bays,inferred_brand_name,MEDIUM
BB Revision,27917038,BB Revision,declaration_legal_name,HIGH
BDO,45719375,BDO,declaration_legal_name,HIGH
Beck Mortensen Revision ApS,46505190,Beck Mortensen Revision ApS,declaration_legal_name,HIGH
Beck Mortensen Revision ApS,46505190,Beck,inferred_brand_name,MEDIUM
Beierholm,24207501,Beierholm,declaration_legal_name,HIGH
Beierholm,32895468,Beierholm,activity_signal_dominant_cvr,HIGH
Beierholm,32895468,Beierholm,declaration_legal_name,HIGH
BENGT MØLLER REGISTRERET REVISOR,84473413,BENGT MØLLER REGISTRERET REVISOR,declaration_legal_name,HIGH
BENGT MØLLER REGISTRERET REVISOR,84473413,Bengt,inferred_brand_name,MEDIUM
Berg Rådgivning ApS,41234253,Berg Rådgivning ApS,declaration_legal_name,HIGH
Berg Rådgivning ApS,41234253,Berg,inferred_brand_name,MEDIUM
Bergmann,54213255,Bergmann,declaration_legal_name,HIGH
Betternumbers P/S,42216011,Betternumbers P/S,declaration_legal_name,HIGH
Betternumbers P/S,42216011,Betternumbers,inferred_brand_name,MEDIUM
BG Statsautoriserede revisorer ApS,43196863,BG Statsautoriserede revisorer ApS,declaration_legal_name,HIGH
BHA Statsautoriseret Revision,18967901,BHA Statsautoriseret Revision,declaration_legal_name,HIGH
BHA Statsautoriseret Revision,18967901,Bha,inferred_brand_name,MEDIUM
BHS,15772573,BHS,declaration_legal_name,HIGH
Bidstrup Revision,17578235,Bidstrup Revision,declaration_legal_name,HIGH
Bidstrup Revision,17578235,Bidstrup,inferred_brand_name,MEDIUM
Bille & Buch-Andersen,18282046,Bille & Buch-Andersen,declaration_legal_name,HIGH
Bille & Buch-Andersen,18282046,Bille,inferred_brand_name,MEDIUM
Birkebæk Revision,16950394,Birkebæk Revision,declaration_legal_name,HIGH
Birkebæk Revision,16950394,Birkebæk,inferred_brand_name,MEDIUM
Bisbjerg & Partners P/S,44742969,Bisbjerg & Partners P/S,declaration_legal_name,HIGH
Bisbjerg & Partners P/S,44742969,Bisbjerg,inferred_brand_name,MEDIUM
BJ Administration,32651674,BJ Administration,declaration_legal_name,HIGH
BJ Regnskab,14327746,BJ Regnskab,declaration_legal_name,HIGH
Bjarke Kjær,31885191,Bjarke Kjær,declaration_legal_name,HIGH
Bjarke Kjær,31885191,Bjarke,inferred_brand_name,MEDIUM
Bjarne Bertelsen,28711395,Bjarne Bertelsen,declaration_legal_name,HIGH
Bjarne Bertelsen,28711395,Bjarne,inferred_brand_name,MEDIUM
Bjarne Engbjerg-Pedersen,16579106,Bjarne Engbjerg-Pedersen,declaration_legal_name,HIGH
Bjarne Engbjerg-Pedersen,16579106,Bjarne,inferred_brand_name,MEDIUM
BJERGGAARD Regnskab og Rådgivning v/ Steen Bjerggaard,72715454,BJERGGAARD Regnskab og Rådgivning v/ Steen Bjerggaard,declaration_legal_name,HIGH
BJERGGAARD Regnskab og Rådgivning v/ Steen Bjerggaard,72715454,Bjerggaard,inferred_brand_name,MEDIUM
Bjørnlaursen,32671594,Bjørnlaursen,declaration_legal_name,HIGH
BK Revision ApS,12140363,BK Revision ApS,declaration_legal_name,HIGH
BK-Revision,12967594,BK-Revision,declaration_legal_name,HIGH
Blicher Revision & Rådgivning,78337818,Blicher Revision & Rådgivning,declaration_legal_name,HIGH
Blicher Revision & Rådgivning,78337818,Blicher,inferred_brand_name,MEDIUM
BMM Consult,18079739,BMM Consult,declaration_legal_name,HIGH
BMM Consult,18079739,Bmm,inferred_brand_name,MEDIUM
BN Consult,73980828,BN Consult,declaration_legal_name,HIGH
BN Revision,46906012,BN Revision,declaration_legal_name,HIGH
Bogføring / Regnskab,16942375,Bogføring / Regnskab,declaration_legal_name,HIGH
Bogføring / Regnskab,16942375,Bogføring,inferred_brand_name,MEDIUM
Boreco,36074981,Boreco,declaration_legal_name,HIGH
Borg Revision v/Olav Borg Christensen,20938692,Borg Revision v/Olav Borg Christensen,declaration_legal_name,HIGH
Borg Revision v/Olav Borg Christensen,20938692,Borg,inferred_brand_name,MEDIUM
Bornholms Landbrug & Fødevarer,29441677,Bornholms Landbrug & Fødevarer,declaration_legal_name,HIGH
Bornholms Landbrug & Fødevarer,29441677,Bornholms,inferred_brand_name,MEDIUM
Bornholms Revision,37858498,Bornholms Revision,declaration_legal_name,HIGH
Bornholms Revision,37858498,Bornholms,inferred_brand_name,MEDIUM
"Bornhøft & Lindemann, Registreret Revisionsanpartsselskab",41672625,"Bornhøft & Lindemann, Registreret Revisionsanpartsselskab",declaration_legal_name,HIGH
"Bornhøft & Lindemann, Registreret Revisionsanpartsselskab",41672625,Bornhøft,inferred_brand_name,MEDIUM
"Breindal, statsautoriseret revisionsanpartsselskab",41733950,"Breindal, statsautoriseret revisionsanpartsselskab",declaration_legal_name,HIGH
"Breindal, statsautoriseret revisionsanpartsselskab",41733950,Breindal,inferred_brand_name,MEDIUM
Brendstrup Revision,14371435,Brendstrup Revision,declaration_legal_name,HIGH
Brendstrup Revision,14371435,Brendstrup,inferred_brand_name,MEDIUM
Bro Søndergaard Statsautoriseret Revisionsanpartsselskab,41657332,Bro Søndergaard Statsautoriseret Revisionsanpartsselskab,declaration_legal_name,HIGH
Bro Søndergaard Statsautoriseret Revisionsanpartsselskab,41657332,Bro,inferred_brand_name,MEDIUM
Broernes Revision,27616690,Broernes Revision,declaration_legal_name,HIGH
Broernes Revision,27616690,Broernes,inferred_brand_name,MEDIUM
"Broernes Revision, Reg Revisorer",14310533,"Broernes Revision, Reg Revisorer",declaration_legal_name,HIGH
"Broernes Revision, Reg Revisorer",14310533,Broernes,inferred_brand_name,MEDIUM
Brun Blaa ApS,41815043,Brun Blaa ApS,declaration_legal_name,HIGH
Brun Blaa ApS,41815043,Brun,inferred_brand_name,MEDIUM
Brønshøj Regnskab,36709030,Brønshøj Regnskab,declaration_legal_name,HIGH
Brønshøj Regnskab,36709030,Brønshøj,inferred_brand_name,MEDIUM
Brørup Revisionskontor,13260982,Brørup Revisionskontor,declaration_legal_name,HIGH
Brørup Revisionskontor,13260982,Brørup,inferred_brand_name,MEDIUM
Buch&Nørgaard,71344517,Buch&Nørgaard,declaration_legal_name,HIGH
Buch&Nørgaard,71344517,Buch,inferred_brand_name,MEDIUM
Buller Tex Flemming Olsen,32560164,Buller Tex Flemming Olsen,declaration_legal_name,HIGH
Buller Tex Flemming Olsen,32560164,Buller,inferred_brand_name,MEDIUM
Burholt Revision,20833696,Burholt Revision,declaration_legal_name,HIGH
Burholt Revision,20833696,Burholt,inferred_brand_name,MEDIUM
BUUS JENSEN I/S STATSAUTORISEREDE REVISORER,36029374,Buus Jensen,declaration_legal_name,HIGH
BUUS JENSEN I/S STATSAUTORISEREDE REVISORER,36029374,BUUS JENSEN I/S STATSAUTORISEREDE REVISORER,manual_taxonomy_candidate,HIGH
Bæk Revision,16557390,Bæk Revision,declaration_legal_name,HIGH
Bæk Revision,16557390,Bæk,inferred_brand_name,MEDIUM
C&J Revision,26326931,C&J Revision,declaration_legal_name,HIGH
Capture,28126131,Capture,declaration_legal_name,HIGH
Carsten Bjørn Jensen,25452313,Carsten Bjørn Jensen,declaration_legal_name,HIGH
Carsten Bjørn Jensen,25452313,Carsten,inferred_brand_name,MEDIUM
CBK Revision,14604448,CBK Revision,declaration_legal_name,HIGH
CBK Revision,14604448,Cbk,inferred_brand_name,MEDIUM
CCH Revision,27015476,CCH Revision,declaration_legal_name,HIGH
CCH Revision,27015476,Cch,inferred_brand_name,MEDIUM
CDO Revison,15897473,CDO Revison,declaration_legal_name,HIGH
CDO Revison,15897473,Cdo,inferred_brand_name,MEDIUM
Center Revision Kjellerup,29618038,Center Revision Kjellerup,declaration_legal_name,HIGH
Center Revision Kjellerup,29618038,Center,inferred_brand_name,MEDIUM
Centerrevision Billund,20806346,Centerrevision Billund,declaration_legal_name,HIGH
Centerrevision Billund,20806346,Centerrevision,inferred_brand_name,MEDIUM
Centrum Revision v/ Henrik Søeborg,14548599,Centrum Revision v/ Henrik Søeborg,declaration_legal_name,HIGH
Centrum Revision v/ Henrik Søeborg,14548599,Centrum,inferred_brand_name,MEDIUM
Centrum Revision V/Kurt Håkonsson,17037307,Centrum Revision V/Kurt Håkonsson,declaration_legal_name,HIGH
Centrum Revision V/Kurt Håkonsson,17037307,Centrum,inferred_brand_name,MEDIUM
Christensen & Kjær,28320124,Christensen & Kjær,declaration_legal_name,HIGH
Christensen & Kjær,28320124,Christensen,inferred_brand_name,MEDIUM
Christensen Kjærulff,15915641,Christensen Kjærulff,declaration_legal_name,HIGH
Christensen Kjærulff,15915641,Christensen,inferred_brand_name,MEDIUM
City Revision,37048755,City Revision,declaration_legal_name,HIGH
City Revision,37048755,City,inferred_brand_name,MEDIUM
CJ Partnership,53375812,CJ Partnership,declaration_legal_name,HIGH
CKF Revision ApS Godkendt revisionsfirma,31782139,CKF Revision ApS Godkendt revisionsfirma,declaration_legal_name,HIGH
CKF Revision ApS Godkendt revisionsfirma,31782139,Ckf,inferred_brand_name,MEDIUM
Claus Carlsen,30553535,Claus Carlsen,declaration_legal_name,HIGH
Claus Carlsen,30553535,Claus,inferred_brand_name,MEDIUM
Complet Revision,30077288,Complet Revision,declaration_legal_name,HIGH
Complet Revision,30077288,Complet,inferred_brand_name,MEDIUM
COMPTA,25072596,COMPTA,declaration_legal_name,HIGH
Compu Revision,15618175,Compu Revision,declaration_legal_name,HIGH
Compu Revision,15618175,Compu,inferred_brand_name,MEDIUM
Consens,39751445,Consens,declaration_legal_name,HIGH
Counted ApS,46110099,Counted ApS,declaration_legal_name,HIGH
Counted ApS,46110099,Counted,inferred_brand_name,MEDIUM
CR Revison,31115086,CR Revison,declaration_legal_name,HIGH
Crowe,33256876,Crowe,declaration_legal_name,HIGH
CTM Revision,33160364,CTM Revision,declaration_legal_name,HIGH
CTM Revision,33160364,Ctm,inferred_brand_name,MEDIUM
CURA Revision,34330042,CURA Revision,declaration_legal_name,HIGH
CURA Revision,34330042,Cura,inferred_brand_name,MEDIUM
CY Consult ApS,41474084,CY Consult ApS,declaration_legal_name,HIGH
"Dahl, Rask & Partnere",10422183,"Dahl, Rask & Partnere",declaration_legal_name,HIGH
"Dahl, Rask & Partnere",10422183,Dahl,inferred_brand_name,MEDIUM
"Dalsgaard, Stahl & Wøldike",21696382,"Dalsgaard, Stahl & Wøldike",declaration_legal_name,HIGH
"Dalsgaard, Stahl & Wøldike",21696382,Dalsgaard,inferred_brand_name,MEDIUM
Damborg Revision og Rådgivning,15710373,Damborg Revision og Rådgivning,declaration_legal_name,HIGH
Damborg Revision og Rådgivning,15710373,Damborg,inferred_brand_name,MEDIUM
Damgaard & Enevoldsen,24257770,Damgaard & Enevoldsen,declaration_legal_name,HIGH
Damgaard & Enevoldsen,24257770,Damgaard,inferred_brand_name,MEDIUM
Damgaard Revision,33074441,Damgaard Revision,declaration_legal_name,HIGH
Damgaard Revision,33074441,Damgaard,inferred_brand_name,MEDIUM
Danborg Revision,27289940,Danborg Revision,declaration_legal_name,HIGH
Danborg Revision,27289940,Danborg,inferred_brand_name,MEDIUM
Danica,37603686,Danica,declaration_legal_name,HIGH
Danrevi Bramming,24257614,Danrevi Bramming,declaration_legal_name,HIGH
Danrevi Bramming,24257614,Danrevi,inferred_brand_name,MEDIUM
Danrevi Løgstør,10019699,Danrevi Løgstør I/S,activity_signal_dominant_cvr,HIGH
Danrevi Løgstør,10019699,Danrevi Løgstør,declaration_legal_name,HIGH
Danrevi Løgstør,10019699,Danrevi,inferred_brand_name,MEDIUM
Danrevi Løgstør,27125611,Danrevi Løgstør,declaration_legal_name,HIGH
Danrevi Løgstør,27125611,Danrevi,inferred_brand_name,MEDIUM
DanRevision Statsautoriseret Revisionsanpartsselskab,41552204,DanRevision Statsautoriseret Revisionsanpartsselskab,declaration_legal_name,HIGH
DanRevision Statsautoriseret Revisionsanpartsselskab,41552204,Danrevision,inferred_brand_name,MEDIUM
Dansk Center Revision,94431468,Dansk Center Revision,declaration_legal_name,HIGH
Dansk Center Revision,94431468,Dansk Center,inferred_brand_name,MEDIUM
DANSK REVISION A/S,31071097,DANSK REVISION A/S,declaration_legal_name,HIGH
DANSK REVISION A/S,31071097,Dansk,inferred_brand_name,MEDIUM
Dansk Revision Aalborg,17835998,Dansk Revision Aalborg,declaration_legal_name,HIGH
Dansk Revision Aalborg,17835998,Dansk Aalborg,inferred_brand_name,MEDIUM
Dansk Revision Brønderslev,14795707,Dansk Revision Brønderslev,declaration_legal_name,HIGH
Dansk Revision Brønderslev,14795707,Dansk Brønderslev,inferred_brand_name,MEDIUM
Dansk Revision Esbjerg,26993695,Dansk Revision Esbjerg,declaration_legal_name,HIGH
Dansk Revision Esbjerg,26993695,Dansk Esbjerg,inferred_brand_name,MEDIUM
Dansk Revision Frederikssund,86141019,Dansk Revision Frederikssund,declaration_legal_name,HIGH
Dansk Revision Frederikssund,86141019,Dansk Frederikssund,inferred_brand_name,MEDIUM
Dansk Revision Hillerød,26580390,Dansk Revision Hillerød,declaration_legal_name,HIGH
Dansk Revision Hillerød,26580390,Dansk Hillerød,inferred_brand_name,MEDIUM
Dansk Revision Holbæk,28853343,Dansk Revision Holbæk,declaration_legal_name,HIGH
Dansk Revision Holbæk,28853343,Dansk Holbæk,inferred_brand_name,MEDIUM
Dansk Revision København,32671608,Dansk Revision København,declaration_legal_name,HIGH
Dansk Revision København,32671608,Dansk København,inferred_brand_name,MEDIUM
Dansk Revision Odense,82218912,Dansk Revision Odense,declaration_legal_name,HIGH
Dansk Revision Odense,82218912,Dansk Odense,inferred_brand_name,MEDIUM
Dansk Revision Randers,31778530,Dansk Revision Randers,declaration_legal_name,HIGH
Dansk Revision Randers,31778530,Dansk Randers,inferred_brand_name,MEDIUM
Dansk Revision Roskilde,14678093,Dansk Revision Roskilde,declaration_legal_name,HIGH
Dansk Revision Roskilde,14678093,Dansk Roskilde,inferred_brand_name,MEDIUM
Dansk Revision Silkeborg,21678309,Dansk Revision Silkeborg,declaration_legal_name,HIGH
Dansk Revision Silkeborg,21678309,Dansk Silkeborg,inferred_brand_name,MEDIUM
Dansk Revision Skive,25172795,Dansk Revision Skive,declaration_legal_name,HIGH
Dansk Revision Skive,25172795,Dansk Skive,inferred_brand_name,MEDIUM
Dansk Revision Slagelse,29919801,Dansk Revision Slagelse & Nyborg,activity_signal_dominant_cvr,HIGH
Dansk Revision Slagelse,29919801,Dansk Revision Slagelse,declaration_legal_name,HIGH
Dansk Revision Slagelse,29919801,Dansk Slagelse,inferred_brand_name,MEDIUM
Dansk Revision Søborg,14649905,Dansk Revision Søborg,declaration_legal_name,HIGH
Dansk Revision Søborg,14649905,Dansk Søborg,inferred_brand_name,MEDIUM
Dansk Revision Sønderborg,30816471,Dansk Revision Sønderborg,declaration_legal_name,HIGH
Dansk Revision Sønderborg,30816471,Dansk Sønderborg,inferred_brand_name,MEDIUM
Dansk Revision Tønder,33219229,Dansk Revision Tønder,declaration_legal_name,HIGH
Dansk Revision Tønder,33219229,Dansk Tønder,inferred_brand_name,MEDIUM
Dansk Revision Viborg,20336390,Dansk Revision Viborg,declaration_legal_name,HIGH
Dansk Revision Viborg,20336390,Dansk Viborg,inferred_brand_name,MEDIUM
Dansk Revision Wulff & Haaning,36920289,Dansk Revision Wulff & Haaning,declaration_legal_name,HIGH
Dansk Revision Wulff & Haaning,36920289,Dansk Wulff,inferred_brand_name,MEDIUM
Dansk Revision Århus,26717671,"DANSK REVISION ÅRHUS, GODKENDT REVISIONSPARTNERSELSKAB",activity_signal_dominant_cvr,HIGH
Dansk Revision Århus,26717671,Dansk Revision Århus,declaration_legal_name,HIGH
Dansk Revision Århus,26717671,Dansk Århus,inferred_brand_name,MEDIUM
Dask Gruppen,13889686,Dask Gruppen,declaration_legal_name,HIGH
Dask Gruppen,13889686,Dask,inferred_brand_name,MEDIUM
DataBalance,32983618,DataBalance,declaration_legal_name,HIGH
Datarevision FRR,54504055,Datarevision FRR,declaration_legal_name,HIGH
Datarevision FRR,54504055,Datarevision,inferred_brand_name,MEDIUM
DAVS,25319435,DAVS,declaration_legal_name,HIGH
De Små Revisorer ApS,41583479,De Små Revisorer ApS,declaration_legal_name,HIGH
Deko Rådgivning ApS,44387255,Deko Rådgivning ApS,declaration_legal_name,HIGH
Deko Rådgivning ApS,44387255,Deko,inferred_brand_name,MEDIUM
Deloitte,24213714,Deloitte,declaration_legal_name,HIGH
Deloitte,33963556,Deloitte,declaration_legal_name,HIGH
Delta Administration,13850232,Delta Administration,declaration_legal_name,HIGH
Delta Administration,13850232,Delta,inferred_brand_name,MEDIUM
Din Revisor,35407359,Din Revisor,declaration_legal_name,HIGH
Din Revisor,35407359,Din,inferred_brand_name,MEDIUM
Din Revisor Amager ApS Godkendte revisorer,44396033,Din Revisor Amager ApS Godkendte revisorer,declaration_legal_name,HIGH
Din Revisor Amager ApS Godkendte revisorer,44396033,Din,inferred_brand_name,MEDIUM
Din Revisor Svaneke ApS Godkendte revisorer,45016501,Din Revisor Svaneke ApS Godkendte revisorer,declaration_legal_name,HIGH
Din Revisor Svaneke ApS Godkendte revisorer,45016501,Din,inferred_brand_name,MEDIUM
Dissing Revision,42395358,Dissing Revision,declaration_legal_name,HIGH
Dissing Revision,42395358,Dissing,inferred_brand_name,MEDIUM
Djurs Revision,19713830,Djurs Revision,declaration_legal_name,HIGH
Djurs Revision,19713830,Djurs,inferred_brand_name,MEDIUM
DK Ejendomsadministration & Ejendomsservice ApS,36728027,DK Ejendomsadministration & Ejendomsservice ApS,declaration_legal_name,HIGH
DLBR Revision,32451195,DLBR Revision,declaration_legal_name,HIGH
DLBR Revision,32451195,Dlbr,inferred_brand_name,MEDIUM
DM Revision,14569391,DM Revision,declaration_legal_name,HIGH
"DM Revisionsfirma af 1993, Registreret Revisionsanpartsselskab",39473321,"DM Revisionsfirma af 1993, Registreret Revisionsanpartsselskab",declaration_legal_name,HIGH
DP Hillerød P/S,42491748,DP Hillerød P/S,declaration_legal_name,HIGH
DR af 15. august 2016,75938713,DR af 15. august 2016,declaration_legal_name,HIGH
DR Revision,36479760,DR Revision,declaration_legal_name,HIGH
DSH-Revision,19674193,DSH-Revision,declaration_legal_name,HIGH
DSH-Revision,19674193,Dsh,inferred_brand_name,MEDIUM
"Dueholm & Partnere, Godkendt Revisionshus",21631930,"Dueholm & Partnere, Godkendt Revisionshus",declaration_legal_name,HIGH
"Dueholm & Partnere, Godkendt Revisionshus",21631930,Dueholm,inferred_brand_name,MEDIUM
Dupont Revision,26563976,Dupont Revision,declaration_legal_name,HIGH
Dupont Revision,26563976,Dupont,inferred_brand_name,MEDIUM
